title,price,published,acreage,address,latitude,longitude
"Phòng trọ full nội thất giá rẻ, ngay cầu Tân Thuận",4.5,02/11/2019,28.0,"Đường Nguyễn Tất Thành, Phường 18, Quận 4, Hồ Chí Minh",10.759189598000034,106.71382214200008
Phòng trọ MỚI XÂY có gác có máy lạnh,4.5,16/05/2019,32.0,"Đường Tôn Thất Thuyết, Phường 18, Quận 4, Hồ Chí Minh",10.755507158000057,106.71901479200005
PHÒNG 25M2 CÓ GÁC - ĐẦY ĐỦ TIỆN NGHI ĐƯỜNG TÔN THẤT THUYẾT - 4TR/THÁNG,4.0,04/01/2019,25.0,"Đường Tôn Thất Thuyết, Phường 18, Quận 4, Hồ Chí Minh",10.755507158000057,106.71901479200005
Phòng trọ cho nữ sinh viên hoặc nữ nhân viên văn phòng,3.5,30/10/2019,16.0,"699 Đường Đoàn Văn Bơ, Phường 18, Quận 4, Hồ Chí Minh",10.756789252000033,106.71473855100004
"Cho Thuê Phòng Tiện nghi cao cấp sạch sẽ, giá từ 2tr5-4tr5",4.5,17/02/2020,25.0,"Số 18 Đường số 16, Phường 18, Quận 4, Hồ Chí Minh",10.7398469,106.6981147
"PHÒNG ĐẸP, MỚI XÂY, BAN CÔNG, PHÒNG BẾP RIÊNG, ĐẦY ĐỦ TIỆN NGHI Q.PHÚ NHUẬN",7.5,06/01/2020,35.0,"541/46 Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.791291,106.667505
"BUNKA HOUSE 460 - Ký túc xá khu vực Quận 1, Quận 4, Quận 7",1.5,29/09/2020,30.0,"460C Đường Nguyễn Tất Thành, Phường 18, Quận 4, Hồ Chí Minh",10.757621718000053,106.71653923300005
"Hiện còn 2 phòng nhỏ 1 người ở cho nam thuê - giá 1trieu3/tháng, 424/27 Ng Tất Thành, P.18, Q.4 -1trieu5/tháng",1.2,18/06/2020,9.0,"Đường Nguyễn Tất Thành, Phường 18, Quận 4, Hồ Chí Minh",10.759189598000034,106.71382214200008
CHO THUÊ PHONG TRỌ - HUỲNH VĂN BÁNH - PHÚ NHUẬN,6.0,05/01/2020,25.0,"Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.791798591000031,106.67030350200008
"Phòng trọ Quận 4 có gác, view sông, gần trung tâm giờ giấc tự do",4.0,09/03/2020,20.0,"13A Đường Tôn Thất Thuyết, Phường 18, Quận 4, Hồ Chí Minh",10.753582144000063,106.71682926600005
